id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
320268,Html.ActionLink doesn’t render # properly,"<p>When using Html.ActionLink passing a string containing the # char renders it like it is but if you UrlEncode it renders as %2523.</p>

<p>I believe it's a bug. MVC Beta Release.</p>

<p>Is it really a bug?</p>

<p><a href=""http://example.com/test#"" rel=""nofollow noreferrer"">http://example.com/test#</a> is rendered as </p>

<p><a href=""http://example.com/test%2523"" rel=""nofollow noreferrer"">http://examplee.com/test%2523</a> instead of </p>

<p><a href=""http://examplee.com/test%2523"" rel=""nofollow noreferrer"">http://examplee.com/test%2523</a></p>",,0,0,,2008-11-26 10:42:37.477000+00:00,0.0,2009-02-06 20:13:54.370000+00:00,,,,Paulo,,,1,0,asp.net-mvc,390
324003,Primitive recursion,"<p>how  will i define the function 'simplify' using primitive recursion?</p>

<p>simplify :: Expr -> Expr<br>
    ...  </p>

<p>simplify 
Simplify an expression using basic arithmetic, e.g. 
    simplify (Plus (Var ""x"") (Const 0)) = Var ""x"" </p>",,0,0,,2008-11-27 15:12:37.497000+00:00,0.0,2012-09-25 19:54:40.597000+00:00,2012-09-25 19:54:40.597000+00:00,Marcin,1288.0,,41000.0,,1,0,haskell|lambda|functional-programming|lambda-calculus,497
390605,While vs. Do While,"<p>I've seen both the blocks of code in use several different times, personally I have always used the first but my question is: is there a functional difference, and if there is what is it?<br /></p>

<pre><code>while (condition is true ) {
    // do something
}

do {
    // do something
} while ( condition is true);
</code></pre>

<p>I will be applying this to PHP but I assume this is fairly language agnostic.</p>",390608.0,0,0,,2008-12-24 01:49:54.230000+00:00,2.0,2008-12-24 03:08:55.897000+00:00,,,,Unkwntech,115.0,,1,0,language-agnostic|loops,11262
413246,Protect ASP.NET Source code,"<p>Im currently doing some research in how to best protect my source code so that no external parties can view and use my code.</p>

<p>From browsing the web a few ideas have come to mind i.e</p>

<p>1) Publish website into a DLL</p>

<p>2) Code obfuscator</p>

<p>3) 3rd Party</p>

<p>But none i find are really explained that well or shown in detail how to achieve this. Anyone here who could shed some more light on this topic ?</p>

<p>Thanks in advance</p>",,0,0,,2009-01-05 14:23:51.040000+00:00,0.0,2009-03-24 21:30:22.370000+00:00,2009-01-05 14:42:28.257000+00:00,Tom Anderson,13502.0,Velnias,,,1,0,asp.net|deployment|obfuscation,4823
454921,"Difference between ""int[] myArray"" and ""int myArray[]"" in Java","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/129178/difference-between-int-array-and-int-array"">Difference between int[] array and int array[]</a>  </p>
</blockquote>



<p>I've wondered for a long time whether or not there is a difference between the following:</p>

<pre><code>int[] myArray;
</code></pre>

<p>and,</p>

<pre><code>int myArray[];
</code></pre>",454928.0,0,0,,2009-01-18 10:22:52.177000+00:00,0.0,2009-01-18 10:30:50.930000+00:00,2017-05-23 11:49:26.567000+00:00,,-1.0,Evan Fosmark,49701.0,,1,0,java|arrays,798
587584,What is the preferred way to declare a Java array?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/129178/difference-between-int-array-and-int-array"">Difference between int[] array and int array[]</a>  </p>
</blockquote>



<p>What is the difference between these two declarations of an array of native types in Java?</p>

<pre><code>double items[] = new double[10];

double[] items = new double[10];
</code></pre>

<p>If they are the same is there any reason to prefer one over the other?</p>",587594.0,0,0,,2009-02-25 19:57:22.633000+00:00,0.0,2009-02-25 23:37:23.213000+00:00,2017-05-23 12:20:37.303000+00:00,Eddie,-1.0,Simon,24039.0,,1,0,java|arrays|declaration,627
597572,How do I create a windows service with Python,<p>I really need my python program to run as a windows service. How can I do this?</p>,,0,0,,2009-02-28 05:47:08.330000+00:00,0.0,2020-10-14 06:15:14.207000+00:00,2020-10-14 06:15:14.207000+00:00,eliben,100297.0,minty,4491.0,,1,0,python|windows|service,3526
612711,Best C# Profiler?,"<p>Recently I used RedGate ANTS profiler which seems pretty good, but the application I tried to profile was crashing due to DivideByException, where as running in inside Visual Studio was fine for both debug and release.</p>

<p>Are there other/better C# profilers that you know of?</p>",,0,0,,2009-03-04 22:16:01.557000+00:00,2.0,2013-01-14 21:17:03.763000+00:00,2010-01-25 15:15:51.767000+00:00,Gortok,164901.0,Joan Venge,51816.0,,1,0,c#|.net|performance|profiler,20905
651291,Securing a .NET Application,"<h3>Duplicate:</h3>
<blockquote>
<p><a href=""https://stackoverflow.com/questions/506282/protect-net-code-from-reverse-engineering/"">Protecting .NET Code from Reverse Engineering</a></p>
</blockquote>
<p>We've recently released a small application and this weekend I found a cracked version of it on <code>Piratebay</code> that had the registration checking removed, so the app ran as if it was a registered version.</p>
<p>Apart from using a code obfuscation tool (which doesn't seem to be that hard to get around), are there any standard things we should be doing to make our .NET applications more difficult to crack?</p>",651375.0,0,0,,2009-03-16 17:07:23.660000+00:00,1.0,2010-06-09 16:17:12.787000+00:00,2020-06-20 09:12:55.060000+00:00,Rich B,-1.0,beakersoft,19638.0,,1,0,.net|security|obfuscation|reverse-engineering,6042
665430,"Disable ""Back"" & ""Refresh"" Button in Browser","<p>I am doing web development. 
I have a page to do with credit card, which when user click ""refresh"" or ""Back"", the transaction will be performed one more time, which is unwanted.
This include Browser top left ""Back"" &amp; ""Refresh"" button, ""right click->Refresh/Back"", press ""F5"" key.
This is to be done on certain cgi page only, not all of them.
Can this be done using Javascript? Or any other method?</p>

<p>Thanks,
sytee</p>

<p><strong>exact duplicate</strong>: <a href=""https://stackoverflow.com/questions/665399"">How do I stop the Back and Refresh buttons from resubmitting my form?</a></p>",,0,0,,2009-03-20 09:13:31.800000+00:00,0.0,2009-03-20 09:21:19.240000+00:00,2017-05-23 12:01:24.203000+00:00,vartec,-1.0,sytee,,,1,0,javascript|browser|double-submit-prevention,4525
668384,WPF: XAML Custom Namespace,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/669560/wpf-xaml-custom-namespace"">WPF: XAML Custom Namespace</a>  </p>
</blockquote>



<p>Okay so I have a Window in WPF. I add the following line inside of it:</p>

<pre><code>xmlns:controls=""clr-namespace:mCubed.Controls""
</code></pre>

<p>This compiles and runs just fine, but the Visual Studio designer gives me this error:</p>

<blockquote>
  <p>Could not load file or assembly 'mCubed, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null' or one of its dependencies. The system cannot find the file specified.</p>
</blockquote>

<p>When I remove this line from the Window, it compiles and runs just fine and the Visual Studio designer works like a charm!</p>

<p>I'm confused as to why that one line breaks the designer? This occurs <strong><em>REGARDLESS</em></strong> if I have put the following line in the body of the XAML document.</p>

<pre><code>&lt;controls:MyControl/&gt;
</code></pre>",,0,0,,2009-03-20 23:47:45.833000+00:00,0.0,2009-07-25 20:39:46.090000+00:00,2017-05-23 09:57:50.870000+00:00,,-1.0,,23939.0,,1,0,c#|wpf|xaml|namespaces,938
1138436,Can i regenerate my own session id in servlet?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/1163319/java-secure-session"">Java secure session</a>  </p>
</blockquote>



<p>I know once you run yor jsf application the server will generate a session id, But how can i do like once the user login to the system then regenerate the session id ? Can i do this?</p>",,0,0,,2009-07-16 15:30:04.980000+00:00,0.0,2009-07-21 00:17:19.160000+00:00,2017-05-23 12:26:44.200000+00:00,,-1.0,Hoe Chin,,,1,0,session|jakarta-ee,514
1304738,Wait in console,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/4908495/pausing-a-batch-file-for-amount-of-time"">Pausing a batch file for amount of time</a>  </p>
</blockquote>



<p>How I can make wait x sec in console (cmd), without ""timeout"" command?</p>",,0,1,,2009-08-20 08:23:39.200000+00:00,0.0,2011-07-24 10:46:29.053000+00:00,2017-05-23 12:26:43.993000+00:00,user95644,-1.0,user95644,,,1,0,console|time-wait,250
